school_name,school_location,ncaa_division,conference_name
Fort Lewis College,"Durango, Colorado",NCAA Division 2,Rocky Mountain (RMAC)
Fort Valley State University,"Fort Valley, Georgia",NCAA Division 2,SIAC
Francis Marion University,"Florence, South Carolina",NCAA Division 2,Peach Belt
Franklin Pierce University,"Rindge, New Hampshire",NCAA Division 2,Northeast-10
Fresno Pacific University,"Fresno, California",NCAA Division 2,Pacific West
Frostburg State University,"Frostburg, Maryland",NCAA Division 2,Mountain East
Gannon University,"Erie, Pennsylvania",NCAA Division 2,PSAC
Georgia College & State University,"Milledgeville, Georgia",NCAA Division 2,Peach Belt
Georgian Court University,"Lakewood, New Jersey",NCAA Division 2,CACC
Glenville State College,"Glenville, West Virginia",NCAA Division 2,Mountain East
Goldey-Beacom College,"Wilmington, Delaware",NCAA Division 2,CACC
Grand Valley State University,"Allendale, Michigan",NCAA Division 2,GLIAC
Harding University,"Searcy, Arkansas",NCAA Division 2,GAC
Hawaii Pacific University,"Honolulu, Hawaii",NCAA Division 2,Pacific West
Henderson State University,"Arkadelphia, Arkansas",NCAA Division 2,GAC
Hillsdale College,"Hillsdale, Michigan",NCAA Division 2,GMAC
Holy Family University,"Philadelphia, Pennsylvania",NCAA Division 2,CACC
Holy Names University,"Oakland, California",NCAA Division 2,Pacific West
Humboldt State University,"Arcata, California",NCAA Division 2,CCAA
Indiana University of Pennsylvania-Main Campus,"Indiana, Pennsylvania",NCAA Division 2,PSAC
Jefferson College,"Hillsboro, Missouri",NCAA Division 2,CACC
Johnson C Smith University,"Charlotte, North Carolina",NCAA Division 2,CIAA
Kentucky State University,"Frankfort, Kentucky",NCAA Division 2,SIAC
Kentucky Wesleyan College,"Owensboro, Kentucky",NCAA Division 2,GMAC
King University,"Bristol, Tennessee",NCAA Division 2,Conference Carolinas
Kutztown University of Pennsylvania,"Kutztown, Pennsylvania",NCAA Division 2,PSAC
Lake Erie College,"Painesville, Ohio",NCAA Division 2,GMAC
Lake Superior State University,"Sault Ste Marie, Michigan",NCAA Division 2,GLIAC
Lander University,"Greenwood, South Carolina",NCAA Division 2,Peach Belt
Lane College,"Jackson, Tennessee",NCAA Division 2,SIAC
Le Moyne College,"Syracuse, New York",NCAA Division 2,Northeast-10
Le Moyne-Owen College,"Memphis, Tennessee",NCAA Division 2,SIAC
Lee University,"Cleveland, Tennessee",NCAA Division 2,Gulf South
Lees-McRae College,"Banner Elk, North Carolina",NCAA Division 2,Conference Carolinas
Lenoir-Rhyne University,"Hickory, North Carolina",NCAA Division 2,South Atlantic
Lewis University,"Romeoville, Illinois",NCAA Division 2,GLVC
Limestone University,"Gaffney, South Carolina",NCAA Division 2,South Atlantic
Lincoln Memorial University,"Harrogate, Tennessee",NCAA Division 2,South Atlantic
Lincoln University,"Lincoln University, Pennsylvania",NCAA Division 2,CIAA
Lindenwood University,"Saint Charles, Missouri",NCAA Division 2,GLVC
Livingstone College,"Salisbury, North Carolina",NCAA Division 2,CIAA
Lock Haven University,"Lock Haven, Pennsylvania",NCAA Division 2,PSAC
Lubbock Christian University,"Lubbock, Texas",NCAA Division 2,Lone Star
Lynn University,"Boca Raton, Florida",NCAA Division 2,Sunshine State
Malone University,"Canton, Ohio",NCAA Division 2,GMAC
Mars Hill University,"Mars Hill, North Carolina",NCAA Division 2,South Atlantic
McKendree University,"Lebanon, Illinois",NCAA Division 2,GLVC
Mercy College,"Dobbs Ferry, New York",NCAA Division 2,ECC
Mercyhurst University,"Erie, Pennsylvania",NCAA Division 2,PSAC
Metropolitan State University of Denver,"Denver, Colorado",NCAA Division 2,Rocky Mountain (RMAC)
Michigan Technological University,"Houghton, Michigan",NCAA Division 2,GLIAC
Midwestern State University,"Wichita Falls, Texas",NCAA Division 2,Lone Star
Miles College,"Fairfield, Alabama",NCAA Division 2,SIAC
Millersville University of Pennsylvania,"Millersville, Pennsylvania",NCAA Division 2,PSAC
Minnesota State University-Mankato,"Mankato, Minnesota",NCAA Division 2,Northern Sun
Minnesota State University Moorhead,"Moorhead, Minnesota",NCAA Division 2,Northern Sun
Minot State University,"Minot, North Dakota",NCAA Division 2,Northern Sun
Mississippi College,"Clinton, Mississippi",NCAA Division 2,Gulf South
Missouri Southern State University,"Joplin, Missouri",NCAA Division 2,MIAA
Missouri University of Science and Technology,"Rolla, Missouri",NCAA Division 2,GLVC
Missouri Western State University,"Saint Joseph, Missouri",NCAA Division 2,MIAA
Molloy College,"Rockville Centre, New York",NCAA Division 2,ECC
Montana State University Billings,"Billings, Montana",NCAA Division 2,GNAC
New Mexico Highlands University,"Las Vegas, New Mexico",NCAA Division 2,Rocky Mountain (RMAC)
Newberry College,"Newberry, South Carolina",NCAA Division 2,South Atlantic
Newman University,"Wichita, Kansas",NCAA Division 2,MIAA
North Greenville University,"Tigerville, South Carolina",NCAA Division 2,Conference Carolinas
Northern Michigan University,"Marquette, Michigan",NCAA Division 2,GLIAC
Northern State University,"Aberdeen, South Dakota",NCAA Division 2,Northern Sun
Northwest Missouri State University,"Maryville, Missouri",NCAA Division 2,MIAA
